Code,L1,L2,L3,L4
B,Structural Condition,Structural Failure,Broken,Broken pipe
CC,Structural Condition,Surface Fissure,Crack,Crack - Circumferential
CL,Structural Condition,Surface Fissure,Crack,Crack - Longitudinal
CM,Structural Condition,Surface Fissure,Crack,Crack - Multiple
CS,Structural Condition,Surface Fissure,Crack,Crack - Spiral
CU,Miscellaneous Features,Miscellaneous,Loss of Vision,Loss of Vision - Camera under water
CXD,Construction Features,Connections + Junctions,Defective Connection,Defective Connection - Connecting pipe damaged
CXI,Construction Features,Connections + Junctions,Defective Connection,Defective Connection - Intruding
CN,Construction Features,Connections + Junctions,Connection,Connection
D,Structural Condition,Structural Failure,Deformed,Deformed drain/sewer
DB,Structural Condition,Brick Defects,Displaced Bricks,Displaced bricks
DEC,Service Defects,Deposits,Settled Deposits,Settled deposits - Hard or compacted
DEE,Service Defects,Deposits,Attached Deposits,Attached deposits - Encrustation
DEF,Service Defects,Deposits,Attached Deposits,Attached deposits - Fouling
DEG,Service Defects,Deposits,Attached Deposits,Attached Deposits - Grease
DER,Service Defects,Deposits,Settled Deposits,Settled deposits - Coarse
DES,Service Defects,Deposits,Settled Deposits,Settled deposits - Fine
EX,Service Defects,Infiltration/Exfiltration,Exfiltration,Exfiltration
FC,Structural Condition,Surface Fissure,Fracture,Fracture - Circumferential
FL,Structural Condition,Surface Fissure,Fracture,Fracture - Longitudinal
FM,Structural Condition,Surface Fissure,Fracture,Fracture - Multiple
FS,Structural Condition,Surface Fissure,Fracture,Fracture - Spiral
H,Structural Condition,Structural Failure,Hole,Hole in drain/sewer
ID,Service Defects,Infiltration/Exfiltration,Infiltration,Infiltration - Dripping
IG,Service Defects,Infiltration/Exfiltration,Infiltration,Infiltration - Gushing
IR,Service Defects,Infiltration/Exfiltration,Infiltration,Infiltration - Running
IS,Service Defects,Infiltration/Exfiltration,Infiltration,Infiltration - Seeping
ING,Service Defects,Ingress,Ingress of soil,Ingress of soil
INGF,Service Defects,Ingress,Ingress of soil,Ingress of fine material
INGZ,Service Defects,Ingress,Ingress of soil,Ingress of other material
JDL,Structural Condition,Joint Defects,Joint Displaced,Joint displaced large
JDM,Structural Condition,Joint Defects,Joint Displaced,Joint displaced medium
JN,Construction Features,Connections + Junctions,Junction,Junction
JX,Construction Features,Connections + Junctions,Defective Junction,Defective Junction
JXB,Construction Features,Connections + Junctions,Defective Junction,Defective Junction - Connecting pipe blocked
JXD,Construction Features,Connections + Junctions,Defective Junction,Defective Junction - Connecting pipe damaged
LD,Service Defects,Line of Sewer,Line of Sewer,Line of drain/sewer deviates down
LL,Service Defects,Line of Sewer,Line of Sewer,Line of drain/sewer deviates left
LR,Service Defects,Line of Sewer,Line of Sewer,Line of drain/sewer deviates right
LU,Service Defects,Line of Sewer,Line of Sewer,Line of drain/sewer deviates up
LX,Construction Features,Construction - Other,Lining Observations,Lining defect
MB,Structural Condition,Brick Defects,Missing Bricks,Missing bricks
MC,Miscellaneous Features,Miscellaneous,Material Change,Material of drain/sewer changes
MM,Structural Condition,Brick Defects,Mortar Missing,Mortar missing
OB,Service Defects,Obstacles,Obstruction,Obstruction
OBB,Service Defects,Obstacles,Other Obstacles,Other Obstacles - Brick or masonry in invert
OBC,Service Defects,Obstacles,Other Obstacles,Other Obstacles - Through connection/junction
OBI,Service Defects,Obstacles,Other Obstacles,Other Obstacles - Protruding through wall
OBM,Service Defects,Obstacles,Other Obstacles,Other Obstacles - Pipe material in invert
OBP,Service Defects,Obstacles,Other Obstacles,Other Obstacles - External pipe or cable
OBS,Service Defects,Obstacles,Other Obstacles,Other Obstacles - Built into structure
OBX,Service Defects,Obstacles,Other Obstacles,Other Obstacles - Other object in invert
OJL,Structural Condition,Joint Defects,Open Joint,Open joint large
OJM,Structural Condition,Joint Defects,Open Joint,Open joint medium
RF,Service Defects,Roots,Roots,Roots - Fine
RM,Service Defects,Roots,Roots,Roots - Mass
RT,Service Defects,Roots,Roots,Roots - Tap
SAP,Structural Condition,Surface Damage,Surface Damage,Surface Damage - Aggregate projecting from surface
SAV,Structural Condition,Surface Damage,Surface Damage,Surface Damage - Aggregate visible
SCP,Structural Condition,Surface Damage,Surface Damage,Surface Damage - Corrosion products
SRC,Structural Condition,Surface Damage,Surface Damage,Surface Damage - Reinforcement corroded
SRP,Structural Condition,Surface Damage,Surface Damage,Surface Damage - Reinforcement projecting from surface
SRV,Structural Condition,Surface Damage,Surface Damage,Surface Damage - Reinforcement visible
SS,Structural Condition,Surface Damage,Surface Damage,Surface Damage - Spalling
SW,Structural Condition,Surface Damage,Surface Damage,Surface Damage - Increased roughness
SR,Construction Features,Construction - Other,Defective Seal,Sealing ring intruding
SV,Construction Features,Construction - Other,Soil Visible,Soil visible through defect
VR,Miscellaneous Features,Miscellaneous,Vermin,Vermin - Rat
VV,Construction Features,Construction - Other,Void Visible,Void visible through defect
WL,Service Defects,Water Level,Water Level,Water level
XB,Structural Condition,Brick Defects,Collapse,Collapsed brickwork or masonry
XP,Structural Condition,Structural Failure,Collapse,Collapsed drain/sewer
